idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
 686,   23,        Z0,22, 510, 510, 716, 717, 556,   1,42.73565292,2.95565224,1.21498835,14.88687271,40.05891975,409.45469615,91.18759918,0.10539644,0.16849089,-11.52213001
 687,    3,         s,23, 684, 684, 689, 690,  23,   3,92.33622742,-0.19728994,0.17531414,90.92087883,16.10505157,-18.33541707,0.50000000,0.10539644,0.16849089,-11.52213001
 688,   -3,      sbar,23, 684, 684, 691, 691,  23,  -3,18.25846863,1.37876189,1.69048262,-2.18007479,18.12785014,33.94334283,0.50000000,0.10539644,0.16849089,-11.52213001
 716,    1,         d,23, 686, 686, 718, 719,  23,   1,21.88094711,1.17965019,-2.05240965,-10.13546438,-19.39196247,32.22899111,0.33000001,0.10539644,0.16849089,-11.52213001
 717,   -1,      dbar,23, 686, 686, 720, 720,  23,  -1,64.50212860,2.46652317,1.17241132,25.02233174,59.45088316,377.22567450,0.33000001,0.10539644,0.16849089,-11.52213001
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    2,         u,21,   6,   6,   4,   5,   2,-556,0.00000000,24245.36523438,0.00000000,0.00000000,0.00000000,1489.36523438,0.00000000,0.10320280,0.16968772,-1.53830278
   3,   -2,      ubar,21,   7,   7,   4,   5,  -2,-556,0.00000000,-22810.32421875,0.00000000,0.00000000,0.00000000,-54.32421875,0.00000000,0.10320280,0.16968772,-1.53830278
   4, -556,     P-556,22,   2,   3,   8,   8,   2,-556,150.08265686,2.67645216,1.06649423,72.51942030,131.39915361,1085.44524282,199.99925232,0.10320280,0.16968772,-1.53830278
   5,  556,      P556,22,   2,   3,   9,   9,   2, 556,150.08265686,1.58191955,-2.07509851,-72.51943178,-131.39914727,349.59533681,200.00044250,0.10320280,0.16968772,-1.53830278
 469,  -11,        e+,23, 344, 344, 471, 472,-556, -11,115.97449493,2.61403275,1.41708028,17.75701829,114.60703197,787.51115162,0.00051100,0.10320280,0.16968772,-1.53830278
 470,   23,        Z0,22, 344, 344, 473, 473,-556,  23,60.30776978,2.19992065,0.36415294,56.35313506,21.47908899,268.77621515,91.18759918,0.10320280,0.16968772,-1.53830278
 474,   11,        e-, 1, 345, 345,  -1,  -1, 556,   0,93.78670502,0.99335319,-1.12652576,40.30946691,-84.68230580,109.25874573,0.00051100,0.10320280,0.16968772,-1.53830278
 475,   23,        Z0,22, 345, 345, 523, 524, 556,   2,114.81391907,1.27388275,-2.88872957,-111.16284951,-28.72380372,189.15374957,91.18759918,0.10320280,0.16968772,-1.53830278
 476,    5,         b,23, 473, 473, 478, 479,  23,   5,39.67882156,1.83417773,-1.08271074,18.60682289,-35.04561346,121.02516417,4.80000019,0.10320280,0.16968772,-1.53830278
 477,   -5,      bbar,23, 473, 473, 480, 480,  23,  -5,67.96930695,1.51876128,0.98202044,37.74630892,56.52471008,147.75106784,4.80000019,0.10320280,0.16968772,-1.53830278
 523,    2,         u,23, 475, 475, 525, 526,  23,   2,66.50148773,0.99167752,2.65180659,-58.68314216,31.28476781,77.30129551,0.33000001,0.10320280,0.16968772,-1.53830278
 524,   -2,      ubar,23, 475, 475, 527, 527,  23,  -2,79.71918488,1.13977134,-2.28936386,-52.47970221,-60.00857683,111.85244685,0.33000001,0.10320280,0.16968772,-1.53830278
